plat,plon,dlat,dlon,time,minute
22.433,114.029,22.441,114.27,18:00:51,0
22.286,114.152,22.278,114.174,18:00:52,0
22.275,114.151,22.285,114.173,18:00:53,0
22.274,114.181,22.289,114.173,18:00:54,0
22.313,114.158,22.316,114.127,18:00:55,0
22.288,114.2,22.282,114.192,18:00:55,0
22.411,113.976,22.402,114.214,18:00:55,0
22.375,114.188,22.371,114.147,18:00:56,0
22.493,114.164,22.484,114.174,18:00:56,0
22.365,114.179,22.332,114.183,18:00:56,0
22.281,114.137,22.284,114.132,18:00:56,0
22.284,114.14,22.279,114.119,18:00:57,0
22.434,114.054,22.417,114.058,18:00:57,0
22.457,114.003,22.46,113.999,18:01:00,1
22.287,114.211,22.292,114.18,18:01:01,1
22.37,114.122,22.371,114.097,18:01:01,1
22.283,114.215,22.291,114.213,18:01:02,1
22.277,114.146,22.276,114.113,18:01:02,1
22.337,114.186,22.365,114.172,18:01:04,1
22.281,114.185,22.29,114.19,18:01:06,1
22.287,114.24,22.286,114.229,18:01:06,1
22.281,114.126,22.261,114.155,18:01:07,1
22.313,114.233,22.318,114.217,18:01:09,1
22.311,114.16,22.315,114.175,18:01:10,1
22.327,114.14,22.317,114.143,18:01:12,1
22.3,114.191,22.384,114.198,18:01:14,1
22.28,114.139,22.277,114.146,18:01:16,1
22.288,114.15,22.287,114.182,18:01:16,1
22.483,114.112,22.289,114.095,18:01:16,1
22.387,114.115,22.367,114.117,18:01:16,1
22.303,114.231,22.33,114.235,18:01:17,1
22.28,114.126,22.288,114.152,18:01:17,1
22.28,114.151,22.281,114.153,18:01:17,1
22.371,114.161,22.368,114.169,18:01:18,1
22.446,114.034,22.435,114.034,18:01:18,1
22.283,114.223,22.284,114.192,18:01:18,1
22.446,114.174,22.372,114.17,18:01:19,1
22.292,114.163,22.324,114.148,18:01:20,1
22.453,114.24,22.398,114.232,18:01:20,1
22.328,114.164,22.303,114.159,18:01:21,1
22.311,114.231,22.305,114.219,18:01:21,1
22.284,114.232,22.282,114.228,18:01:21,1
22.331,114.143,22.337,114.143,18:01:22,1
22.28,114.214,22.285,114.204,18:01:26,1
22.285,114.228,22.285,114.221,18:01:26,1
22.328,114.18,22.333,114.167,18:01:27,1
22.327,114.197,22.326,114.198,18:01:28,1
22.322,114.157,22.338,114.17,18:01:29,1
22.317,114.187,22.321,114.22,18:01:29,1
22.285,114.128,22.284,114.129,18:01:31,1
22.368,113.964,22.372,113.95,18:01:31,1
22.401,114.235,22.397,114.236,18:01:32,1
22.247,114.205,22.279,114.172,18:01:34,1
22.309,114.218,22.331,114.22,18:01:34,1
22.275,114.134,22.275,114.165,18:01:35,1
22.325,114.223,22.342,114.223,18:01:35,1
22.462,113.977,22.455,113.977,18:01:36,1
22.336,114.156,22.341,114.157,18:01:37,1
22.332,114.194,22.338,114.188,18:01:38,1
22.281,114.12,22.29,114.146,18:01:38,1
22.316,114.165,22.314,114.184,18:01:39,1
22.302,114.259,22.323,114.267,18:01:39,1
22.36,114.112,22.377,114.113,18:01:39,1
22.439,114.025,22.448,114.041,18:01:40,1
22.379,114.214,22.394,114.22,18:01:41,1
22.394,113.961,22.374,113.94,18:01:41,1
22.334,114.172,22.337,114.178,18:01:41,1
22.412,113.952,22.37,113.949,18:01:42,1
22.396,114.22,22.406,114.183,18:01:43,1
22.283,114.171,22.277,114.197,18:01:44,1
22.28,114.142,22.291,114.148,18:01:44,1
22.313,114.221,22.319,114.219,18:01:44,1
22.334,114.217,22.286,114.204,18:01:44,1
22.446,114.025,22.447,114.023,18:01:44,1
22.316,114.173,22.322,114.171,18:01:45,1
22.376,114.111,22.377,114.185,18:01:46,1
22.286,114.192,22.293,114.18,18:01:47,1
22.331,114.157,22.351,114.174,18:01:47,1
22.231,114.164,22.252,114.174,18:01:47,1
22.302,114.157,22.334,114.111,18:01:47,1
22.336,114.21,22.327,114.243,18:01:48,1
22.285,114.178,22.285,114.196,18:01:48,1
22.373,114.117,22.36,114.102,18:01:48,1
22.366,114.109,22.365,114.096,18:01:49,1
22.424,113.977,22.462,113.961,18:01:49,1
22.234,114.147,22.47,114.169,18:01:50,1
22.278,114.151,22.276,114.117,18:01:51,1
22.309,114.166,22.336,114.19,18:01:51,1
22.286,114.184,22.289,114.183,18:01:52,1
22.29,114.232,22.291,114.219,18:01:54,1
22.397,113.964,22.373,114.188,18:01:55,1
22.374,114.192,22.408,114.215,18:01:55,1
22.439,113.985,22.258,113.99,18:01:56,1
22.284,114.233,22.285,114.23,18:01:56,1
22.401,114.026,22.432,114.036,18:01:57,1
22.283,114.219,22.311,114.2,18:01:58,1
22.31,114.181,22.32,114.17,18:01:59,1
22.336,114.196,22.325,114.195,18:01:59,1
22.484,114.127,22.501,114.1,18:01:59,1
22.308,114.178,22.303,114.192,18:01:59,1
22.295,114.253,22.302,114.259,18:01:59,1
22.326,114.18,22.279,114.186,18:02:00,2
22.287,114.222,22.28,114.216,18:02:00,2
22.362,114.179,22.382,114.194,18:02:00,2
22.29,114.225,22.289,114.239,18:02:01,2
22.442,114.23,22.435,114.042,18:02:02,2
22.488,113.95,22.426,113.956,18:02:02,2
22.332,114.164,22.332,114.142,18:02:03,2
22.279,114.115,22.279,114.111,18:02:03,2
22.408,113.967,22.369,113.958,18:02:03,2
22.316,114.168,22.306,114.187,18:02:04,2
22.302,114.273,22.318,114.281,18:02:04,2
22.283,114.143,22.276,114.146,18:02:04,2
22.309,114.248,22.334,114.262,18:02:05,2
22.327,114.189,22.289,114.154,18:02:06,2
22.283,114.175,22.286,114.189,18:02:06,2
22.278,114.135,22.285,114.11,18:02:06,2
22.283,114.215,22.279,114.215,18:02:07,2
22.364,114.181,22.327,114.138,18:02:07,2
22.37,114.105,22.356,114.133,18:02:07,2
22.338,114.237,22.308,114.226,18:02:07,2
22.292,114.263,22.309,114.278,18:02:08,2
22.31,114.215,22.317,114.225,18:02:08,2
22.328,114.156,22.326,114.139,18:02:08,2
22.456,114.032,22.445,114.041,18:02:09,2
22.298,114.149,22.329,114.163,18:02:09,2
22.481,114.161,22.463,114.176,18:02:09,2
22.323,114.195,22.333,114.236,18:02:09,2
22.327,114.162,22.346,114.153,18:02:10,2
22.286,114.194,22.287,114.184,18:02:10,2
22.283,114.221,22.284,114.212,18:02:10,2
22.291,114.223,22.316,114.262,18:02:11,2
22.285,114.23,22.284,114.195,18:02:11,2
22.435,114.014,22.458,113.993,18:02:11,2
22.326,114.152,22.34,114.177,18:02:12,2
22.335,114.268,22.323,114.199,18:02:12,2
22.359,114.117,22.33,114.111,18:02:13,2
22.434,114.033,22.442,114.179,18:02:13,2
22.32,114.217,22.329,114.225,18:02:14,2
22.361,114.123,22.359,114.118,18:02:15,2
22.282,114.199,22.284,114.193,18:02:15,2
22.339,114.146,22.317,114.139,18:02:15,2
22.242,114.108,22.366,114.131,18:02:16,2
22.283,114.14,22.289,114.144,18:02:16,2
22.421,114.032,22.45,114.034,18:02:16,2
22.409,113.978,22.381,113.986,18:02:16,2
22.493,114.144,22.364,114.158,18:02:17,2
22.429,113.981,22.446,114.225,18:02:17,2
22.309,114.181,22.296,114.243,18:02:18,2
22.466,114.023,22.459,114.032,18:02:18,2
22.311,114.168,22.342,114.17,18:02:19,2
22.257,114.153,22.257,114.172,18:02:19,2
22.289,114.151,22.28,114.137,18:02:19,2
22.316,114.208,22.308,114.247,18:02:19,2
22.459,114.231,22.431,114.035,18:02:20,2
22.277,114.177,22.281,114.166,18:02:20,2
22.313,114.218,22.317,114.193,18:02:20,2
22.31,114.268,22.306,114.274,18:02:20,2
22.27,113.996,22.219,114.001,18:02:20,2
22.327,114.188,22.337,114.16,18:02:20,2
22.465,113.975,22.447,113.976,18:02:21,2
22.353,114.111,22.369,114.105,18:02:21,2
22.436,114.223,22.386,114.227,18:02:22,2
22.307,114.171,22.317,114.165,18:02:22,2
22.281,114.168,22.283,114.162,18:02:22,2
22.308,114.113,22.338,114.103,18:02:24,2
22.445,113.987,22.445,114.004,18:02:24,2
22.325,114.197,22.305,114.223,18:02:24,2
22.286,114.187,22.287,114.23,18:02:24,2
22.297,114.16,22.298,114.165,18:02:24,2
22.359,114.12,22.332,114.13,18:02:25,2
22.275,114.185,22.288,114.204,18:02:25,2
22.444,114.025,22.45,114.024,18:02:25,2
22.368,114.123,22.377,114.127,18:02:25,2
22.329,114.144,22.343,114.148,18:02:25,2
22.283,114.159,22.285,114.166,18:02:26,2
22.373,113.995,22.412,114.194,18:02:27,2
22.306,114.195,22.286,114.233,18:02:27,2
22.337,114.195,22.338,114.181,18:02:27,2
22.356,114.116,22.368,114.152,18:02:28,2
22.308,114.159,22.31,114.151,18:02:28,2
22.452,114.015,22.454,114.009,18:02:29,2
22.282,114.184,22.289,114.191,18:02:29,2
22.32,114.257,22.328,114.26,18:02:30,2
22.369,114.11,22.371,114.11,18:02:30,2
22.331,114.129,22.342,114.156,18:02:30,2
22.305,114.248,22.319,114.254,18:02:30,2
22.282,114.172,22.275,114.183,18:02:30,2
22.504,114.113,22.283,114.136,18:02:31,2
22.282,114.218,22.289,114.228,18:02:31,2
22.457,114.052,22.437,114.054,18:02:31,2
22.283,114.147,22.275,114.123,18:02:31,2
22.32,114.181,22.348,114.196,18:02:31,2
22.278,114.206,22.314,114.179,18:02:31,2
22.449,114.029,22.448,114.027,18:02:32,2
22.31,114.202,22.345,114.202,18:02:32,2
22.45,114.023,22.46,114.032,18:02:32,2
22.327,114.232,22.31,114.239,18:02:33,2
22.316,114.162,22.322,114.196,18:02:34,2
22.285,114.218,22.29,114.223,18:02:35,2
22.323,114.161,22.345,114.18,18:02:35,2
22.285,114.218,22.291,114.231,18:02:36,2
22.295,114.234,22.305,114.277,18:02:37,2
22.372,114.133,22.312,114.144,18:02:37,2
22.301,114.231,22.341,114.227,18:02:37,2
22.376,114.125,22.33,114.125,18:02:37,2
22.435,114.23,22.415,114.227,18:02:37,2
22.335,114.188,22.338,114.181,18:02:37,2
22.39,114.228,22.294,114.214,18:02:38,2
22.302,114.184,22.31,114.161,18:02:38,2
22.304,114.23,22.308,114.219,18:02:38,2
22.307,114.215,22.257,114.188,18:02:39,2
22.334,114.189,22.347,114.188,18:02:39,2
22.306,114.252,22.32,114.265,18:02:39,2
22.243,114.176,22.22,114.193,18:02:39,2
22.337,114.125,22.313,114.133,18:02:39,2
22.367,114.124,22.376,114.127,18:02:40,2
22.427,114.165,22.354,114.161,18:02:41,2
22.443,114.012,22.429,114.021,18:02:41,2
22.309,114.257,22.318,114.261,18:02:41,2
22.376,114.109,22.371,114.115,18:02:42,2
22.235,114.154,22.238,114.167,18:02:43,2
22.326,114.2,22.295,114.169,18:02:43,2
22.361,114.115,22.329,114.108,18:02:43,2
22.475,114.126,22.287,114.128,18:02:43,2
22.294,114.137,22.285,114.132,18:02:43,2
22.309,114.17,22.322,114.183,18:02:44,2
22.415,113.95,22.376,113.943,18:02:45,2
22.278,114.128,22.286,114.107,18:02:45,2
22.335,114.223,22.289,114.234,18:02:45,2
22.334,114.202,22.303,114.202,18:02:45,2
22.283,114.172,22.308,114.165,18:02:45,2
22.284,114.188,22.291,114.155,18:02:46,2
22.279,114.182,22.291,114.181,18:02:47,2
22.282,114.207,22.283,114.223,18:02:47,2
22.288,114.232,22.281,114.219,18:02:47,2
22.468,114.024,22.458,114.019,18:02:47,2
22.335,114.155,22.347,114.176,18:02:47,2
22.394,113.991,22.409,113.966,18:02:47,2
22.361,114.119,22.37,113.949,18:02:48,2
22.446,114.237,22.441,114.041,18:02:48,2
22.449,114.169,22.26,114.164,18:02:49,2
22.286,114.208,22.297,114.16,18:02:50,2
22.294,114.188,22.312,114.19,18:02:50,2
22.377,113.975,22.377,113.961,18:02:51,2
22.383,114.192,22.411,114.197,18:02:51,2
22.333,114.169,22.337,114.183,18:02:51,2
22.305,114.165,22.311,114.18,18:02:53,2
22.39,114.192,22.372,114.193,18:02:53,2
22.37,114.123,22.376,114.176,18:02:53,2
22.411,114.01,22.411,113.989,18:02:54,2
22.313,114.11,22.286,114.13,18:02:54,2
22.331,114.193,22.338,114.267,18:02:54,2
22.359,114.137,22.344,114.138,18:02:54,2
22.28,114.149,22.285,114.184,18:02:55,2
22.325,114.101,22.326,114.139,18:02:57,2
22.295,114.251,22.309,114.263,18:02:57,2
22.335,114.23,22.317,114.234,18:02:57,2
22.373,114.18,22.325,114.128,18:02:57,2
22.29,114.238,22.284,114.198,18:02:58,2
22.316,114.18,22.325,114.201,18:02:59,2
22.283,114.146,22.282,114.151,18:03:00,3
22.322,114.182,22.289,114.175,18:03:01,3
22.332,114.185,22.34,114.203,18:03:01,3
22.329,114.16,22.348,114.168,18:03:01,3
22.469,113.984,22.385,113.971,18:03:02,3
22.282,114.185,22.288,114.182,18:03:03,3
22.335,114.124,22.35,114.136,18:03:03,3
22.326,114.221,22.323,114.201,18:03:04,3
22.241,114.171,22.257,114.169,18:03:04,3
22.369,114.1,22.375,114.104,18:03:05,3
22.239,114.23,22.27,114.226,18:03:05,3
22.385,113.967,22.381,113.954,18:03:06,3
22.314,114.193,22.326,114.187,18:03:06,3
22.279,114.228,22.282,114.216,18:03:06,3
22.354,114.18,22.368,114.116,18:03:06,3
22.278,114.197,22.277,114.181,18:03:07,3
22.287,114.194,22.294,114.188,18:03:07,3
22.287,114.195,22.284,114.199,18:03:07,3
22.471,113.986,22.426,113.969,18:03:07,3
22.333,114.2,22.286,114.124,18:03:07,3
22.284,114.156,22.339,114.105,18:03:07,3
22.284,114.224,22.288,114.228,18:03:07,3
22.309,114.249,22.328,114.257,18:03:08,3
22.362,114.189,22.375,114.179,18:03:09,3
22.369,114.103,22.367,114.117,18:03:09,3
22.287,114.199,22.286,114.19,18:03:09,3
22.275,114.161,22.281,114.17,18:03:09,3
22.275,114.167,22.245,114.151,18:03:09,3
22.439,114.044,22.426,114.045,18:03:09,3
22.415,113.935,22.373,113.936,18:03:09,3
22.439,114.217,22.409,114.19,18:03:09,3
22.369,114.113,22.289,114.095,18:03:09,3
22.286,114.167,22.288,114.173,18:03:10,3
22.279,114.209,22.283,114.213,18:03:10,3
22.384,114.155,22.295,114.167,18:03:10,3
22.38,114.215,22.405,114.184,18:03:10,3
22.289,114.22,22.303,114.221,18:03:10,3
22.344,114.135,22.325,114.109,18:03:10,3
22.29,114.233,22.275,114.228,18:03:11,3
22.434,113.989,22.375,113.996,18:03:11,3
22.277,114.179,22.287,114.178,18:03:11,3
22.303,114.228,22.337,114.198,18:03:11,3
22.311,114.205,22.303,114.201,18:03:11,3
22.412,113.943,22.374,113.945,18:03:12,3
22.399,114.19,22.369,114.222,18:03:12,3
22.306,114.191,22.304,114.199,18:03:12,3
22.357,114.112,22.362,114.117,18:03:13,3
22.377,114.193,22.356,114.197,18:03:15,3
22.442,114.001,22.393,114.239,18:03:15,3
22.425,113.981,22.418,113.984,18:03:15,3
22.423,114.007,22.412,114.007,18:03:16,3
22.277,114.117,22.285,114.12,18:03:16,3
22.283,114.2,22.29,114.212,18:03:17,3
22.358,114.111,22.323,114.104,18:03:17,3
22.403,114.232,22.397,114.214,18:03:17,3
22.367,113.951,22.369,113.946,18:03:17,3
22.282,114.23,22.287,114.232,18:03:18,3
22.365,114.126,22.382,114.141,18:03:18,3
22.29,114.227,22.282,114.212,18:03:18,3
22.29,114.142,22.323,114.134,18:03:19,3
22.44,114.003,22.439,114.005,18:03:19,3
22.331,114.187,22.293,114.199,18:03:20,3
22.405,114.227,22.437,114.213,18:03:20,3
22.333,114.155,22.33,114.189,18:03:20,3
22.364,114.161,22.379,114.15,18:03:20,3
22.297,114.171,22.313,114.182,18:03:20,3
22.446,114.234,22.25,114.234,18:03:21,3
22.354,114.116,22.355,114.181,18:03:21,3
22.485,114.115,22.501,114.108,18:03:21,3
22.28,114.211,22.282,114.227,18:03:21,3
22.465,114.01,22.422,114.006,18:03:22,3
22.377,114.124,22.372,114.124,18:03:22,3
22.296,114.172,22.306,114.176,18:03:22,3
22.282,114.128,22.278,114.124,18:03:23,3
22.338,114.144,22.325,114.167,18:03:23,3
22.292,114.237,22.317,114.23,18:03:23,3
22.393,114.192,22.425,114.192,18:03:24,3
22.288,114.232,22.278,114.221,18:03:24,3
22.386,113.964,22.367,113.964,18:03:24,3
22.395,113.956,22.377,113.941,18:03:25,3
22.285,114.229,22.287,114.235,18:03:25,3
22.399,113.985,22.363,113.985,18:03:26,3
22.31,114.159,22.305,114.161,18:03:26,3
22.37,113.972,22.363,114.139,18:03:26,3
22.394,114.193,22.424,114.19,18:03:26,3
22.279,114.213,22.284,114.205,18:03:26,3
22.31,114.166,22.31,114.197,18:03:26,3
22.454,114.032,22.427,114.029,18:03:26,3
22.274,114.153,22.282,114.122,18:03:26,3
22.417,114.2,22.408,114.173,18:03:27,3
22.309,114.261,22.307,114.268,18:03:27,3
22.463,114,22.446,113.992,18:03:27,3
22.457,113.97,22.456,113.976,18:03:27,3
22.327,114.222,22.293,114.221,18:03:27,3
22.281,114.137,22.289,114.135,18:03:27,3
22.281,114.147,22.306,114.119,18:03:28,3
22.297,114.216,22.282,114.228,18:03:28,3
22.364,114.097,22.372,114.092,18:03:29,3
22.285,114.179,22.288,114.178,18:03:29,3
22.399,114.199,22.354,114.207,18:03:29,3
22.315,114.155,22.331,114.159,18:03:30,3
22.283,114.123,22.287,114.144,18:03:30,3
22.334,114.196,22.338,114.199,18:03:30,3
22.319,114.161,22.309,114.161,18:03:30,3
22.288,114.195,22.28,114.141,18:03:31,3
22.293,114.165,22.291,114.124,18:03:31,3
22.409,114.001,22.403,113.987,18:03:31,3
22.406,113.982,22.379,113.968,18:03:31,3
22.342,114.109,22.314,114.105,18:03:31,3
22.429,114.031,22.437,114.028,18:03:32,3
22.279,114.15,22.283,114.104,18:03:32,3
22.379,114.189,22.313,114.158,18:03:32,3
22.5,114.126,22.477,114.132,18:03:32,3
22.37,114.125,22.367,114.137,18:03:33,3
22.367,114.141,22.268,114.178,18:03:34,3
22.434,113.978,22.408,113.981,18:03:34,3
22.272,114.164,22.281,114.139,18:03:35,3
22.249,114.119,22.241,114.129,18:03:35,3
22.287,114.189,22.293,114.183,18:03:36,3
22.374,114.177,22.375,114.141,18:03:36,3
22.357,114.122,22.367,114.098,18:03:37,3
22.453,114.241,22.43,114.235,18:03:37,3
22.288,114.171,22.301,114.194,18:03:37,3
22.329,114.215,22.358,114.207,18:03:38,3
22.323,114.171,22.341,114.137,18:03:38,3
22.332,114.226,22.324,114.226,18:03:39,3
22.306,114.148,22.285,114.161,18:03:39,3
22.446,114.237,22.264,114.227,18:03:39,3
22.46,114.033,22.438,114.018,18:03:39,3
22.352,114.12,22.34,114.134,18:03:40,3
22.279,114.107,22.289,114.122,18:03:40,3
22.408,114.224,22.365,114.196,18:03:40,3
22.278,114.153,22.284,114.142,18:03:40,3
22.312,114.175,22.301,114.269,18:03:40,3
22.282,114.188,22.289,114.153,18:03:41,3
22.256,114.236,22.262,114.23,18:03:41,3
22.313,114.163,22.309,114.153,18:03:41,3
22.327,114.214,22.306,114.224,18:03:42,3
22.308,114.269,22.315,114.276,18:03:42,3
22.293,114.165,22.336,114.149,18:03:42,3
22.281,114.136,22.282,114.126,18:03:42,3
22.287,114.157,22.274,114.112,18:03:42,3
22.337,114.133,22.339,114.157,18:03:42,3
22.278,114.158,22.277,114.156,18:03:43,3
22.458,113.999,22.456,114.004,18:03:44,3
22.287,114.156,22.284,114.133,18:03:44,3
22.303,114.169,22.339,114.161,18:03:44,3
22.28,114.154,22.28,114.17,18:03:45,3
22.418,114.15,22.337,114.171,18:03:47,3
22.303,114.268,22.311,114.268,18:03:47,3
22.302,114.173,22.293,114.193,18:03:48,3
22.401,113.948,22.382,113.948,18:03:48,3
22.289,114.215,22.287,114.228,18:03:48,3
22.309,114.191,22.321,114.187,18:03:48,3
22.376,114.198,22.384,114.184,18:03:49,3
22.279,114.118,22.285,114.102,18:03:49,3
22.361,114.132,22.366,114.117,18:03:49,3
22.311,114.226,22.311,114.224,18:03:49,3
22.304,114.161,22.312,114.196,18:03:49,3
22.314,114.15,22.328,114.151,18:03:49,3
22.285,114.152,22.285,114.143,18:03:51,3
22.301,114.222,22.346,114.223,18:03:51,3
22.333,114.224,22.293,114.191,18:03:52,3
22.306,114.223,22.324,114.227,18:03:52,3
22.366,114.134,22.337,114.148,18:03:52,3
22.394,114.031,22.33,114.028,18:03:53,3
22.326,114.164,22.298,114.168,18:03:53,3
22.286,114.145,22.286,114.181,18:03:53,3
22.416,113.953,22.369,113.958,18:03:53,3
22.301,114.23,22.325,114.222,18:03:54,3
22.444,114.215,22.405,114.23,18:03:54,3
22.329,114.185,22.357,114.173,18:03:54,3
22.284,114.153,22.273,114.165,18:03:54,3
22.327,114.166,22.343,114.135,18:03:55,3
22.278,114.154,22.282,114.163,18:03:55,3
22.382,114.113,22.362,114.131,18:03:55,3
22.335,114.16,22.315,114.163,18:03:55,3
22.486,114.104,22.506,114.101,18:03:55,3
22.278,114.121,22.288,114.126,18:03:56,3
22.28,114.228,22.284,114.238,18:03:56,3
22.283,114.224,22.284,114.24,18:03:56,3
22.293,114.227,22.292,114.216,18:03:56,3
22.288,114.224,22.289,114.218,18:03:56,3
22.355,114.131,22.364,114.111,18:03:57,3
22.333,114.182,22.321,114.193,18:03:57,3
22.387,113.927,22.365,113.935,18:03:57,3
22.476,114.019,22.46,114.013,18:03:57,3
22.277,114.161,22.282,114.163,18:03:58,3
22.502,114.109,22.486,114.121,18:03:58,3
22.278,114.175,22.282,114.188,18:03:58,3
22.401,113.967,22.37,113.97,18:03:58,3
22.283,114.165,22.28,114.111,18:03:58,3
22.356,114.131,22.375,114.123,18:03:58,3
22.39,114.006,22.416,113.998,18:03:58,3
22.299,114.176,22.264,114.186,18:03:58,3
22.326,114.23,22.282,114.23,18:03:59,3
22.284,114.113,22.289,114.115,18:03:59,3
22.337,114.128,22.316,114.14,18:03:59,3
22.232,114.169,22.28,114.173,18:03:59,3
22.278,114.123,22.287,114.106,18:03:59,3
22.33,114.152,22.34,114.164,18:04:00,4
22.439,113.997,22.438,114.026,18:04:01,4
22.286,114.191,22.286,114.177,18:04:01,4
22.28,114.189,22.303,114.183,18:04:02,4
22.33,114.237,22.329,114.232,18:04:02,4
22.414,113.931,22.37,113.945,18:04:03,4
22.33,114.129,22.335,114.085,18:04:03,4
22.287,114.151,22.309,114.137,18:04:03,4
22.278,114.121,22.288,114.166,18:04:03,4
22.294,114.165,22.346,114.18,18:04:03,4
22.319,114.226,22.332,114.224,18:04:04,4
22.31,114.206,22.302,114.204,18:04:04,4
22.315,114.261,22.315,114.272,18:04:05,4
22.366,114.11,22.3,114.113,18:04:05,4
22.446,114.006,22.472,114.031,18:04:07,4
22.326,114.174,22.317,114.145,18:04:08,4
22.331,114.164,22.344,114.173,18:04:08,4
22.28,114.198,22.281,114.132,18:04:08,4
22.47,114.006,22.438,113.994,18:04:09,4
22.38,114.188,22.306,114.238,18:04:09,4
22.318,114.225,22.308,114.231,18:04:09,4
22.284,114.192,22.289,114.234,18:04:10,4
22.448,114.232,22.394,114.216,18:04:10,4
22.501,114.168,22.503,114.171,18:04:10,4
22.316,114.195,22.322,114.212,18:04:10,4
22.38,114.132,22.371,114.128,18:04:10,4
22.281,114.156,22.288,114.174,18:04:11,4
22.314,114.188,22.299,114.197,18:04:11,4
22.31,114.256,22.341,114.267,18:04:12,4
22.278,114.143,22.288,114.17,18:04:12,4
22.302,114.19,22.319,114.193,18:04:12,4
22.287,114.225,22.293,114.19,18:04:13,4
22.327,114.19,22.335,114.191,18:04:14,4
22.431,114.225,22.446,114.233,18:04:14,4
22.371,113.977,22.376,113.969,18:04:14,4
22.282,114.142,22.284,114.157,18:04:14,4
22.317,114.2,22.314,114.24,18:04:15,4
22.37,114.118,22.38,114.134,18:04:15,4
22.302,114.273,22.305,114.278,18:04:15,4
22.442,114.154,22.444,114.164,18:04:15,4
22.283,114.185,22.291,114.204,18:04:15,4
22.445,114.033,22.451,114.037,18:04:16,4
